Confirmed,DayElapsed_death,Deaths,New,New_death,New_recover,Recovered,Date_last_updated_AEDT,date_day,DayElapsed
7744,37,66,65,3,292,4033,2020-04-13 22:00:00,2020-04-13,35
7679,36,63,39,3,106,3741,2020-04-12 22:00:00,2020-04-12,34
7640,35,60,107,4,126,3635,2020-04-11 22:00:00,2020-04-11,33
7533,34,56,151,4,208,3509,2020-04-10 22:00:00,2020-04-10,32
7382,33,52,114,1,205,3301,2020-04-09 22:00:00,2020-04-09,31
7268,32,51,155,2,207,3096,2020-04-08 22:00:00,2020-04-08,30
7113,31,49,174,7,280,2889,2020-04-07 22:00:00,2020-04-07,29
6939,30,42,177,5,1726,2609,2020-04-06 22:00:00,2020-04-06,28
6762,29,37,232,6,96,883,2020-04-05 22:00:00,2020-04-05,27
6530,28,31,279,2,89,787,2020-04-04 21:00:00,2020-04-04,26
6251,27,29,293,4,57,698,2020-04-03 21:00:00,2020-04-03,25
5958,26,25,365,3,127,641,2020-04-02 21:00:00,2020-04-02,24
5593,25,22,364,2,77,514,2020-04-01 21:00:00,2020-04-01,23
5229,24,20,370,0,61,437,2020-03-31 21:00:00,2020-03-31,22
4859,23,20,340,3,80,376,2020-03-30 21:00:00,2020-03-30,21
4519,22,17,408,3,6,296,2020-03-29 21:00:00,2020-03-29,20
4111,21,14,544,2,58,290,2020-03-28 21:00:00,2020-03-28,19
3567,20,12,459,0,10,232,2020-03-27 21:10:00,2020-03-27,18
3108,19,12,452,4,63,222,2020-03-26 22:20:00,2020-03-26,17
2656,18,8,340,0,10,159,2020-03-25 23:20:00,2020-03-25,16
2316,17,8,486,1,55,149,2020-03-24 21:20:00,2020-03-24,15
1830,16,7,406,0,0,94,2020-03-23 21:40:00,2020-03-23,14
1424,15,7,296,0,42,94,2020-03-22 21:00:00,2020-03-22,13
1128,14,7,211,0,0,52,2020-03-21 21:00:00,2020-03-21,12
917,13,7,179,1,2,52,2020-03-20 21:20:00,2020-03-20,11
738,12,6,150,0,3,50,2020-03-19 21:30:00,2020-03-19,10
588,11,6,123,1,20,47,2020-03-18 22:00:00,2020-03-18,9
465,10,5,82,0,0,27,2020-03-17 21:00:00,2020-03-17,8
383,9,5,78,0,0,27,2020-03-16 21:00:00,2020-03-16,7
305,8,5,51,2,2,27,2020-03-15 21:00:00,2020-03-15,6
254,7,3,52,0,1,25,2020-03-14 21:00:00,2020-03-14,5
202,6,3,41,0,0,24,2020-03-13 21:00:00,2020-03-13,4
161,5,3,29,0,0,24,2020-03-12 21:00:00,2020-03-12,3
132,4,3,21,0,1,24,2020-03-11 21:00:00,2020-03-11,2
111,3,3,14,0,1,23,2020-03-10 21:00:00,2020-03-10,1
97,2,3,12,0,0,22,2020-03-09 21:00:00,2020-03-09,0
85,1,3,8,1,1,22,2020-03-08 21:00:00,2020-03-08,0
77,0,2,11,0,0,21,2020-03-07 21:00:00,2020-03-07,0
66,0,2,7,0,0,21,2020-03-06 21:00:00,2020-03-06,0
59,0,2,13,1,0,21,2020-03-05 21:00:00,2020-03-05,0
46,0,1,7,0,0,21,2020-03-04 21:00:00,2020-03-04,0
39,0,1,5,0,6,21,2020-03-03 21:00:00,2020-03-03,0
34,0,1,6,0,0,15,2020-03-02 21:00:00,2020-03-02,0
28,0,1,2,1,0,15,2020-03-01 21:00:00,2020-03-01,0
26,0,0,1,0,0,15,2020-02-29 21:00:00,2020-02-29,0
25,0,0,2,0,0,15,2020-02-28 21:00:00,2020-02-28,0
23,0,0,0,0,0,15,2020-02-27 21:00:00,2020-02-27,0
23,0,0,1,0,0,15,2020-02-26 21:00:00,2020-02-26,0
22,0,0,0,0,5,15,2020-02-25 21:00:00,2020-02-25,0
22,0,0,0,0,0,10,2020-02-24 21:00:00,2020-02-24,0
22,0,0,1,0,0,10,2020-02-23 21:00:00,2020-02-23,0
21,0,0,4,0,0,10,2020-02-22 21:00:00,2020-02-22,0
17,0,0,2,0,0,10,2020-02-21 21:00:00,2020-02-21,0
15,0,0,0,0,2,10,2020-02-20 21:00:00,2020-02-20,0
15,0,0,0,0,0,8,2020-02-19 21:00:00,2020-02-19,0
15,0,0,0,0,0,8,2020-02-18 21:00:00,2020-02-18,0
15,0,0,0,0,0,8,2020-02-17 21:00:00,2020-02-17,0
15,0,0,0,0,0,8,2020-02-16 21:00:00,2020-02-16,0
15,0,0,0,0,0,8,2020-02-15 21:00:00,2020-02-15,0
15,0,0,0,0,3,8,2020-02-14 21:00:00,2020-02-14,0
15,0,0,0,0,0,5,2020-02-13 21:00:00,2020-02-13,0
15,0,0,0,0,0,5,2020-02-12 21:00:00,2020-02-12,0
15,0,0,0,0,0,5,2020-02-11 20:30:00,2020-02-11,0
15,0,0,0,0,0,5,2020-02-10 21:00:00,2020-02-10,0
15,0,0,0,0,2,5,2020-02-09 21:00:00,2020-02-09,0
15,0,0,0,0,0,3,2020-02-08 21:00:00,2020-02-08,0
15,0,0,1,0,0,3,2020-02-07 21:00:00,2020-02-07,0
14,0,0,1,0,0,3,2020-02-06 21:00:00,2020-02-06,0
13,0,0,1,0,0,3,2020-02-05 21:00:00,2020-02-05,0
12,0,0,0,0,0,3,2020-02-04 20:00:00,2020-02-04,0
12,0,0,0,0,1,3,2020-02-03 20:00:00,2020-02-03,0
12,0,0,3,0,0,2,2020-02-02 20:00:00,2020-02-02,0
9,0,0,1,0,0,2,2020-02-01 10:00:00,2020-02-01,0
8,0,0,1,0,2,2,2020-01-31 12:30:00,2020-01-31,0
7,0,0,2,0,0,0,2020-01-30 12:00:00,2020-01-30,0
5,0,0,0,0,0,0,2020-01-29 14:00:00,2020-01-29,0
5,0,0,1,0,0,0,2020-01-28 11:30:00,2020-01-28,0
4,0,0,0,0,0,0,2020-01-27 14:00:00,2020-01-27,0
4,0,0,0,0,0,0,2020-01-26 13:00:00,2020-01-26,0
4,0,0,4,0,0,0,2020-01-25 15:00:00,2020-01-25,0
0,0,0,0,0,0,0,2020-01-24 15:00:00,2020-01-24,0
0,0,0,0,0,0,0,2020-01-23 15:00:00,2020-01-23,0
0,0,0,0,0,0,0,2020-01-22 15:00:00,2020-01-22,0
0,0,0,0,0,0,0,2020-01-21 15:00:00,2020-01-21,0
