Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
25321,22698,1706,2020-06-16 22:00:00,2020-06-16,18,94,0,89,0
25303,22698,1706,2020-06-15 22:00:00,2020-06-15,8,93,1,88,0
25295,22698,1705,2020-06-14 22:00:00,2020-06-14,45,92,0,87,0
25250,22698,1705,2020-06-13 22:00:00,2020-06-13,12,91,2,86,0
25238,22698,1703,2020-06-12 22:00:00,2020-06-12,7,90,8,85,0
25231,22698,1695,2020-06-11 22:00:00,2020-06-11,16,89,4,84,0
25215,22698,1691,2020-06-10 22:00:00,2020-06-10,8,88,8,83,0
25207,22698,1683,2020-06-09 22:00:00,2020-06-09,6,87,4,82,0
25201,22698,1679,2020-06-08 22:00:00,2020-06-08,18,86,1,81,0
25183,22698,1678,2020-06-07 22:00:00,2020-06-07,20,85,8,80,0
25163,22698,1670,2020-06-06 22:00:00,2020-06-06,21,84,6,79,0
25142,22698,1664,2020-06-05 22:00:00,2020-06-05,31,83,5,78,0
25111,22698,1659,2020-06-04 22:00:00,2020-06-04,45,82,1,77,609
25066,22089,1658,2020-06-03 22:00:00,2020-06-03,4,81,8,76,0
25062,22089,1650,2020-06-02 22:00:00,2020-06-02,72,80,-2,75,0
24990,22089,1652,2020-06-01 22:00:00,2020-06-01,61,79,1,74,0
24929,22089,1651,2020-05-31 22:00:00,2020-05-31,53,78,6,73,0
24876,22089,1645,2020-05-30 22:00:00,2020-05-30,35,77,6,72,0
24841,22089,1639,2020-05-29 22:00:00,2020-05-29,38,76,8,71,0
24803,22089,1631,2020-05-28 22:00:00,2020-05-28,68,75,16,70,1029
24735,21060,1615,2020-05-27 22:00:00,2020-05-27,37,74,9,69,0
24698,21060,1606,2020-05-26 22:00:00,2020-05-26,59,73,-2,68,0
24639,21060,1608,2020-05-25 22:00:00,2020-05-25,57,72,4,67,0
24582,21060,1604,2020-05-24 22:00:00,2020-05-24,76,71,12,66,0
24506,21060,1592,2020-05-23 22:00:00,2020-05-23,115,70,9,65,0
24391,21060,1583,2020-05-22 22:00:00,2020-05-22,76,69,12,64,0
24315,21060,1571,2020-05-21 22:00:00,2020-05-21,64,68,10,63,1590
24251,19470,1561,2020-05-20 22:00:00,2020-05-20,51,67,14,62,0
24200,19470,1547,2020-05-19 22:00:00,2020-05-19,88,66,4,61,0
24112,19470,1543,2020-05-18 22:00:00,2020-05-18,64,65,10,60,0
24048,19470,1533,2020-05-17 22:00:00,2020-05-17,92,64,15,59,0
23956,19470,1518,2020-05-16 22:00:00,2020-05-16,129,63,12,58,0
23827,19470,1506,2020-05-15 22:00:00,2020-05-15,426,62,9,57,0
23401,19470,1497,2020-05-14 22:00:00,2020-05-14,159,61,9,56,2360
23242,17110,1488,2020-05-13 22:00:00,2020-05-13,107,60,21,55,0
23135,17110,1467,2020-05-12 22:00:00,2020-05-12,139,59,9,54,0
22996,17110,1458,2020-05-11 22:00:00,2020-05-11,236,58,12,53,0
22760,17110,1446,2020-05-10 22:00:00,2020-05-10,219,57,17,52,0
22541,17110,1429,2020-05-09 22:00:00,2020-05-09,156,56,26,51,0
22385,17110,1403,2020-05-08 22:00:00,2020-05-08,137,55,28,50,0
22248,17110,1375,2020-05-07 22:00:00,2020-05-07,265,54,36,49,3724
21983,13386,1339,2020-05-06 22:00:00,2020-05-06,211,53,20,48,0
21772,13386,1319,2020-05-05 22:00:00,2020-05-05,266,52,16,47,0
21506,13386,1303,2020-05-04 22:00:00,2020-05-04,330,51,17,46,0
21176,13386,1286,2020-05-03 22:00:00,2020-05-03,343,50,21,45,0
20833,13386,1265,2020-05-02 22:00:00,2020-05-02,221,49,33,44,0
20612,13386,1232,2020-05-01 22:00:00,2020-05-01,359,48,42,43,0
20253,13386,1190,2020-04-30 22:00:00,2020-04-30,376,47,31,42,4153
19877,9233,1159,2020-04-29 22:00:00,2020-04-29,229,46,57,41,0
19648,9233,1102,2020-04-28 22:00:00,2020-04-28,386,45,15,40,0
19262,9233,1087,2020-04-27 22:00:00,2020-04-27,701,44,24,39,0
18561,9233,1063,2020-04-26 22:00:00,2020-04-26,377,43,49,38,0
18184,9233,1014,2020-04-25 22:00:00,2020-04-25,577,42,220,37,0
17607,9233,794,2020-04-24 22:00:00,2020-04-24,936,41,25,36,0
16671,9233,769,2020-04-23 22:00:00,2020-04-23,631,40,39,35,0
16040,9233,730,2020-04-22 22:00:00,2020-04-22,388,39,43,34,9156
15652,77,687,2020-04-21 22:00:00,2020-04-21,401,38,77,33,0
15251,77,610,2020-04-20 22:00:00,2020-04-20,493,37,39,32,0
14758,77,571,2020-04-19 22:00:00,2020-04-19,778,36,41,31,0
13980,77,530,2020-04-18 22:00:00,2020-04-18,709,35,44,30,0
13271,77,486,2020-04-17 22:00:00,2020-04-17,724,34,42,29,0
12547,77,444,2020-04-16 22:00:00,2020-04-16,1068,33,38,28,0
11479,77,406,2020-04-15 22:00:00,2020-04-15,832,32,41,27,52
10647,25,365,2020-04-14 22:00:00,2020-04-14,992,31,31,26,0
9655,25,334,2020-04-13 22:00:00,2020-04-13,727,30,14,25,0
8928,25,320,2020-04-12 22:00:00,2020-04-12,839,29,33,24,0
8089,25,287,2020-04-11 22:00:00,2020-04-11,1515,28,24,23,0
6574,25,263,2020-04-10 22:00:00,2020-04-10,500,27,28,22,0
6074,25,235,2020-04-09 22:00:00,2020-04-09,365,26,25,21,0
5709,25,210,2020-04-08 22:00:00,2020-04-08,345,25,36,20,0
5364,25,174,2020-04-07 22:00:00,2020-04-07,370,24,16,19,0
4994,25,158,2020-04-06 22:00:00,2020-04-06,390,23,21,18,0
4604,25,137,2020-04-05 22:00:00,2020-04-05,331,22,17,17,0
4273,25,120,2020-04-04 21:00:00,2020-04-04,424,21,22,16,20
3849,5,98,2020-04-03 21:00:00,2020-04-03,402,20,13,15,0
3447,5,85,2020-04-02 21:00:00,2020-04-02,212,19,14,14,0
3235,5,71,2020-04-01 21:00:00,2020-04-01,325,18,17,13,0
2910,5,54,2020-03-31 21:00:00,2020-03-31,295,17,8,12,0
2615,5,46,2020-03-30 21:00:00,2020-03-30,200,16,10,11,0
2415,5,36,2020-03-29 21:00:00,2020-03-29,294,15,14,10,0
2121,5,22,2020-03-28 21:00:00,2020-03-28,302,14,3,9,0
1819,5,19,2020-03-27 21:10:00,2020-03-27,255,13,10,8,0
1564,5,9,2020-03-26 22:20:00,2020-03-26,235,12,2,7,0
1329,5,7,2020-03-25 23:20:00,2020-03-25,204,11,1,6,0
1125,5,6,2020-03-24 21:20:00,2020-03-24,219,10,2,5,0
906,5,4,2020-03-23 21:40:00,2020-03-23,121,9,1,4,0
785,5,3,2020-03-22 21:00:00,2020-03-22,102,8,0,3,0
683,5,3,2020-03-21 21:00:00,2020-03-21,126,7,0,2,0
557,5,3,2020-03-20 21:20:00,2020-03-20,191,6,1,1,0
366,5,2,2020-03-19 21:30:00,2020-03-19,74,5,0,0,0
292,5,2,2020-03-18 22:00:00,2020-03-18,69,4,0,0,0
223,5,2,2020-03-17 21:00:00,2020-03-17,53,3,0,0,0
170,5,2,2020-03-16 21:00:00,2020-03-16,41,2,0,0,5
129,0,2,2020-03-15 21:00:00,2020-03-15,39,1,1,0,0
90,0,1,2020-03-14 21:00:00,2020-03-14,20,0,0,0,0
70,0,1,2020-03-13 21:00:00,2020-03-13,27,0,0,0,0
43,0,1,2020-03-12 21:00:00,2020-03-12,9,0,1,0,0
34,0,0,2020-03-11 21:00:00,2020-03-11,10,0,0,0,0
24,0,0,2020-03-10 21:00:00,2020-03-10,3,0,0,0,0
21,0,0,2020-03-09 21:00:00,2020-03-09,2,0,0,0,0
19,0,0,2020-03-08 21:00:00,2020-03-08,1,0,0,0,0
18,0,0,2020-03-07 21:00:00,2020-03-07,5,0,0,0,0
13,0,0,2020-03-06 21:00:00,2020-03-06,7,0,0,0,0
6,0,0,2020-03-05 21:00:00,2020-03-05,4,0,0,0,0
2,0,0,2020-03-04 21:00:00,2020-03-04,1,0,0,0,0
1,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
1,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
1,0,0,2020-03-01 21:00:00,2020-03-01,1,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
