Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
236899,132929,24275,2020-04-30 22:00:00,2020-04-30,4771,59,453,57,9026
232128,123903,23822,2020-04-29 22:00:00,2020-04-29,0,58,0,56,0
232128,123903,23822,2020-04-28 22:00:00,2020-04-28,-4071,57,301,55,-3706
236199,127609,23521,2020-04-27 22:00:00,2020-04-27,12440,56,619,54,31901
223759,95708,22902,2020-04-26 22:00:00,2020-04-26,3995,55,378,53,3353
219764,92355,22524,2020-04-25 22:00:00,2020-04-25,0,54,0,52,0
219764,92355,22524,2020-04-24 22:00:00,2020-04-24,6740,53,367,51,3105
213024,89250,22157,2020-04-23 22:00:00,2020-04-23,4635,52,440,50,3335
208389,85915,21717,2020-04-22 22:00:00,2020-04-22,4211,51,435,49,3401
204178,82514,21282,2020-04-21 22:00:00,2020-04-21,3968,50,430,48,1927
200210,80587,20852,2020-04-20 22:00:00,2020-04-20,4266,49,399,47,3230
195944,77357,20453,2020-04-19 22:00:00,2020-04-19,4218,48,410,46,2560
191726,74797,20043,2020-04-18 22:00:00,2020-04-18,6778,47,728,45,0
184948,74797,19315,2020-04-17 22:00:00,2020-04-17,2132,46,185,44,0
182816,74797,19130,2020-04-16 22:00:00,2020-04-16,5183,45,551,43,3944
177633,70853,18579,2020-04-15 22:00:00,2020-04-15,5092,44,523,42,3349
172541,67504,18056,2020-04-14 22:00:00,2020-04-14,3045,43,567,41,2777
169496,64727,17489,2020-04-13 22:00:00,2020-04-13,3477,42,517,40,2336
166019,62391,16972,2020-04-12 22:00:00,2020-04-12,4167,41,619,39,3282
161852,59109,16353,2020-04-11 22:00:00,2020-04-11,4830,40,510,38,3441
157022,55668,15843,2020-04-10 22:00:00,2020-04-10,4576,39,605,37,3503
152446,52165,15238,2020-04-09 22:00:00,2020-04-09,5756,38,683,36,4144
146690,48021,14555,2020-04-08 22:00:00,2020-04-08,6180,37,757,35,4813
140510,43208,13798,2020-04-07 22:00:00,2020-04-07,5478,36,743,34,2771
135032,40437,13055,2020-04-06 22:00:00,2020-04-06,4273,35,637,33,2357
130759,38080,12418,2020-04-05 22:00:00,2020-04-05,6023,34,674,32,3861
124736,34219,11744,2020-04-04 21:00:00,2020-04-04,7026,33,809,31,3706
117710,30513,10935,2020-04-03 21:00:00,2020-04-03,7472,32,932,30,3770
110238,26743,10003,2020-04-02 21:00:00,2020-04-02,8102,31,950,29,4096
102136,22647,9053,2020-04-01 21:00:00,2020-04-01,7719,30,864,28,3388
94417,19259,8189,2020-03-31 21:00:00,2020-03-31,9222,29,849,27,2479
85195,16780,7340,2020-03-30 21:00:00,2020-03-30,6398,28,812,26,2071
78797,14709,6528,2020-03-29 21:00:00,2020-03-29,6549,27,838,25,2424
72248,12285,5690,2020-03-28 21:00:00,2020-03-28,14462,26,1325,24,5270
57786,7015,4365,2020-03-27 21:10:00,2020-03-27,1598,25,276,23,0
56188,7015,4089,2020-03-26 22:20:00,2020-03-26,8578,24,655,22,1648
47610,5367,3434,2020-03-25 23:20:00,2020-03-25,7937,23,738,21,1573
39673,3794,2696,2020-03-24 21:20:00,2020-03-24,6584,22,514,20,439
33089,3355,2182,2020-03-23 21:40:00,2020-03-23,7593,21,801,19,1230
25496,2125,1381,2020-03-22 21:00:00,2020-03-22,570,20,55,18,0
24926,2125,1326,2020-03-21 21:00:00,2020-03-21,4946,19,324,17,537
19980,1588,1002,2020-03-20 21:20:00,2020-03-20,4966,18,362,16,507
15014,1081,640,2020-03-19 21:30:00,2020-03-19,1298,17,42,15,0
13716,1081,598,2020-03-18 22:00:00,2020-03-18,3774,16,256,14,551
9942,530,342,2020-03-17 21:00:00,2020-03-17,1954,15,48,13,13
7988,517,294,2020-03-16 21:00:00,2020-03-16,1597,14,98,12,0
6391,517,196,2020-03-15 21:00:00,2020-03-15,1159,13,63,11,324
5232,193,133,2020-03-14 21:00:00,2020-03-14,1453,12,46,10,4
3779,189,87,2020-03-13 21:00:00,2020-03-13,1502,11,32,9,6
2277,183,55,2020-03-12 21:00:00,2020-03-12,541,10,18,8,48
1736,135,37,2020-03-11 21:00:00,2020-03-11,501,9,6,7,103
1235,32,31,2020-03-10 21:00:00,2020-03-10,324,8,14,6,0
911,32,17,2020-03-09 21:00:00,2020-03-09,386,7,7,5,2
525,30,10,2020-03-08 21:00:00,2020-03-08,123,6,2,4,24
402,6,8,2020-03-07 21:00:00,2020-03-07,73,5,5,3,3
329,3,3,2020-03-06 21:00:00,2020-03-06,81,4,0,2,1
248,2,3,2020-03-05 21:00:00,2020-03-05,83,3,2,1,0
165,2,1,2020-03-04 21:00:00,2020-03-04,41,2,1,0,0
124,2,0,2020-03-03 21:00:00,2020-03-03,38,1,0,0,0
86,2,0,2020-03-02 21:00:00,2020-03-02,28,0,0,0,0
58,2,0,2020-03-01 21:00:00,2020-03-01,13,0,0,0,0
45,2,0,2020-02-29 21:00:00,2020-02-29,19,0,0,0,0
26,2,0,2020-02-28 21:00:00,2020-02-28,12,0,0,0,0
14,2,0,2020-02-27 21:00:00,2020-02-27,4,0,0,0,0
10,2,0,2020-02-26 21:00:00,2020-02-26,7,0,0,0,0
3,2,0,2020-02-25 21:00:00,2020-02-25,1,0,0,0,0
2,2,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
2,2,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
2,2,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
2,2,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
2,2,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
2,2,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
2,2,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
2,2,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
2,2,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
2,2,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,2
2,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
2,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
2,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
2,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
2,0,0,2020-02-10 21:00:00,2020-02-10,1,0,0,0,0
1,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
1,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
1,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
1,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
1,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
1,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
1,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
1,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
1,0,0,2020-02-01 10:00:00,2020-02-01,1,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
