Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
124,122,0,2020-05-28 22:00:00,2020-05-28,0,61,0,0,0
124,122,0,2020-05-27 22:00:00,2020-05-27,0,60,0,0,0
124,122,0,2020-05-26 22:00:00,2020-05-26,0,59,0,0,0
124,122,0,2020-05-25 22:00:00,2020-05-25,0,58,0,0,0
124,122,0,2020-05-24 22:00:00,2020-05-24,0,57,0,0,0
124,122,0,2020-05-23 22:00:00,2020-05-23,1,56,0,0,0
123,122,0,2020-05-22 22:00:00,2020-05-22,1,55,0,0,0
122,122,0,2020-05-21 22:00:00,2020-05-21,0,54,0,0,0
122,122,0,2020-05-20 22:00:00,2020-05-20,0,53,0,0,0
122,122,0,2020-05-19 22:00:00,2020-05-19,0,52,0,0,0
122,122,0,2020-05-18 22:00:00,2020-05-18,0,51,0,0,0
122,122,0,2020-05-17 22:00:00,2020-05-17,0,50,0,0,0
122,122,0,2020-05-16 22:00:00,2020-05-16,0,49,0,0,1
122,121,0,2020-05-15 22:00:00,2020-05-15,0,48,0,0,0
122,121,0,2020-05-14 22:00:00,2020-05-14,0,47,0,0,0
122,121,0,2020-05-13 22:00:00,2020-05-13,0,46,0,0,0
122,121,0,2020-05-12 22:00:00,2020-05-12,0,45,0,0,1
122,120,0,2020-05-11 22:00:00,2020-05-11,0,44,0,0,0
122,120,0,2020-05-10 22:00:00,2020-05-10,0,43,0,0,0
122,120,0,2020-05-09 22:00:00,2020-05-09,0,42,0,0,0
122,120,0,2020-05-08 22:00:00,2020-05-08,0,41,0,0,0
122,120,0,2020-05-07 22:00:00,2020-05-07,0,40,0,0,0
122,120,0,2020-05-06 22:00:00,2020-05-06,0,39,0,0,0
122,120,0,2020-05-05 22:00:00,2020-05-05,0,38,0,0,0
122,120,0,2020-05-04 22:00:00,2020-05-04,0,37,0,0,0
122,120,0,2020-05-03 22:00:00,2020-05-03,0,36,0,0,0
122,120,0,2020-05-02 22:00:00,2020-05-02,0,35,0,0,1
122,119,0,2020-05-01 22:00:00,2020-05-01,0,34,0,0,0
122,119,0,2020-04-30 22:00:00,2020-04-30,0,33,0,0,0
122,119,0,2020-04-29 22:00:00,2020-04-29,0,32,0,0,0
122,119,0,2020-04-28 22:00:00,2020-04-28,0,31,0,0,0
122,119,0,2020-04-27 22:00:00,2020-04-27,0,30,0,0,2
122,117,0,2020-04-26 22:00:00,2020-04-26,0,29,0,0,0
122,117,0,2020-04-25 22:00:00,2020-04-25,0,28,0,0,7
122,110,0,2020-04-24 22:00:00,2020-04-24,0,27,0,0,0
122,110,0,2020-04-23 22:00:00,2020-04-23,0,26,0,0,0
122,110,0,2020-04-22 22:00:00,2020-04-22,0,25,0,0,0
122,110,0,2020-04-21 22:00:00,2020-04-21,0,24,0,0,3
122,107,0,2020-04-20 22:00:00,2020-04-20,0,23,0,0,2
122,105,0,2020-04-19 22:00:00,2020-04-19,0,22,0,0,2
122,103,0,2020-04-18 22:00:00,2020-04-18,0,21,0,0,5
122,98,0,2020-04-17 22:00:00,2020-04-17,0,20,0,0,0
122,98,0,2020-04-16 22:00:00,2020-04-16,0,19,0,0,2
122,96,0,2020-04-15 22:00:00,2020-04-15,0,18,0,0,5
122,91,0,2020-04-14 22:00:00,2020-04-14,0,17,0,0,14
122,77,0,2020-04-13 22:00:00,2020-04-13,0,16,0,0,0
122,77,0,2020-04-12 22:00:00,2020-04-12,2,15,0,0,2
120,75,0,2020-04-11 22:00:00,2020-04-11,1,14,0,0,3
119,72,0,2020-04-10 22:00:00,2020-04-10,2,13,0,0,9
117,63,0,2020-04-09 22:00:00,2020-04-09,0,12,0,0,0
117,63,0,2020-04-08 22:00:00,2020-04-08,2,11,0,0,5
115,58,0,2020-04-07 22:00:00,2020-04-07,1,10,0,0,5
114,53,0,2020-04-06 22:00:00,2020-04-06,0,9,0,0,3
114,50,0,2020-04-05 22:00:00,2020-04-05,0,8,0,0,0
114,50,0,2020-04-04 21:00:00,2020-04-04,0,7,0,0,15
114,35,0,2020-04-03 21:00:00,2020-04-03,4,6,0,0,1
110,34,0,2020-04-02 21:00:00,2020-04-02,1,5,0,0,9
109,25,0,2020-04-01 21:00:00,2020-04-01,0,4,0,0,2
109,23,0,2020-03-31 21:00:00,2020-03-31,2,3,0,0,2
107,21,0,2020-03-30 21:00:00,2020-03-30,4,2,0,0,0
103,21,0,2020-03-29 21:00:00,2020-03-29,4,1,0,0,8
99,13,0,2020-03-28 21:00:00,2020-03-28,1,0,0,0,2
98,11,0,2020-03-27 21:10:00,2020-03-27,2,0,0,0,1
96,10,0,2020-03-26 22:20:00,2020-03-26,3,0,0,0,4
93,6,0,2020-03-25 23:20:00,2020-03-25,6,0,0,0,4
87,2,0,2020-03-24 21:20:00,2020-03-24,1,0,0,0,0
86,2,0,2020-03-23 21:40:00,2020-03-23,33,0,0,0,0
53,2,0,2020-03-22 21:00:00,2020-03-22,2,0,0,0,1
51,1,0,2020-03-21 21:00:00,2020-03-21,4,0,0,0,0
47,1,0,2020-03-20 21:20:00,2020-03-20,10,0,0,0,0
37,1,0,2020-03-19 21:30:00,2020-03-19,2,0,0,0,0
35,1,0,2020-03-18 22:00:00,2020-03-18,11,0,0,0,0
24,1,0,2020-03-17 21:00:00,2020-03-17,12,0,0,0,0
12,1,0,2020-03-16 21:00:00,2020-03-16,5,0,0,0,0
7,1,0,2020-03-15 21:00:00,2020-03-15,0,0,0,0,0
7,1,0,2020-03-14 21:00:00,2020-03-14,2,0,0,0,0
5,1,0,2020-03-13 21:00:00,2020-03-13,2,0,0,0,0
3,1,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
3,1,0,2020-03-11 21:00:00,2020-03-11,1,0,0,0,0
2,1,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
2,1,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
2,1,0,2020-03-08 21:00:00,2020-03-08,1,0,0,0,0
1,1,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
1,1,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
1,1,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
1,1,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
1,1,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
1,1,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
1,1,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
1,1,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
1,1,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
1,1,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
1,1,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
1,1,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
1,1,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
1,1,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
1,1,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
1,1,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
1,1,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
1,1,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
1,1,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
1,1,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
1,1,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
1,1,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
1,1,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
1,1,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
1,1,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
1,1,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
1,1,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
1,1,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
1,1,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
1,1,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,1
1,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
1,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
1,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
1,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
1,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
1,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
1,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
1,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
1,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
1,0,0,2020-01-28 11:30:00,2020-01-28,1,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
