Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
423741,186985,5037,2020-06-02 22:00:00,2020-06-02,8863,77,182,69,11108
414878,175877,4855,2020-06-01 22:00:00,2020-06-01,9035,76,162,68,3994
405843,171883,4693,2020-05-31 22:00:00,2020-05-31,9268,75,138,67,4414
396575,167469,4555,2020-05-30 22:00:00,2020-05-30,8952,74,181,66,8212
387623,159257,4374,2020-05-29 22:00:00,2020-05-29,8572,73,232,65,8264
379051,150993,4142,2020-05-28 22:00:00,2020-05-28,8371,72,174,64,8785
370680,142208,3968,2020-05-27 22:00:00,2020-05-27,8338,71,161,63,11079
362342,131129,3807,2020-05-26 22:00:00,2020-05-26,8915,70,174,62,12331
353427,118798,3633,2020-05-25 22:00:00,2020-05-25,8946,69,92,61,5499
344481,113299,3541,2020-05-24 22:00:00,2020-05-24,8599,68,153,60,5363
335882,107936,3388,2020-05-23 22:00:00,2020-05-23,9434,67,139,59,8111
326448,99825,3249,2020-05-22 22:00:00,2020-05-22,8894,66,150,58,7144
317554,92681,3099,2020-05-21 22:00:00,2020-05-21,8849,65,127,57,7289
308705,85392,2972,2020-05-20 22:00:00,2020-05-20,8764,64,135,56,9262
299941,76130,2837,2020-05-19 22:00:00,2020-05-19,9263,63,115,55,5921
290678,70209,2722,2020-05-18 22:00:00,2020-05-18,8926,62,91,54,2836
281752,67373,2631,2020-05-17 22:00:00,2020-05-17,9709,61,94,53,4207
272043,63166,2537,2020-05-16 22:00:00,2020-05-16,9200,60,119,52,4940
262843,58226,2418,2020-05-15 22:00:00,2020-05-15,10598,59,113,51,4696
252245,53530,2305,2020-05-14 22:00:00,2020-05-14,9974,58,93,50,5527
242271,48003,2212,2020-05-13 22:00:00,2020-05-13,10028,57,96,49,4491
232243,43512,2116,2020-05-12 22:00:00,2020-05-12,10899,56,107,48,3711
221344,39801,2009,2020-05-11 22:00:00,2020-05-11,11656,55,94,47,5495
209688,34306,1915,2020-05-10 22:00:00,2020-05-10,11012,54,88,46,2390
198676,31916,1827,2020-05-09 22:00:00,2020-05-09,10817,53,104,45,5308
187859,26608,1723,2020-05-08 22:00:00,2020-05-08,10699,52,98,44,2805
177160,23803,1625,2020-05-07 22:00:00,2020-05-07,11231,51,88,43,2476
165929,21327,1537,2020-05-06 22:00:00,2020-05-06,10559,50,86,42,1462
155370,19865,1451,2020-05-05 22:00:00,2020-05-05,10102,49,95,41,1770
145268,18095,1356,2020-05-04 22:00:00,2020-05-04,10581,48,76,40,1456
134687,16639,1280,2020-05-03 22:00:00,2020-05-03,10633,47,58,39,1626
124054,15013,1222,2020-05-02 22:00:00,2020-05-02,9623,46,53,38,1793
114431,13220,1169,2020-05-01 22:00:00,2020-05-01,7933,45,96,37,1601
106498,11619,1073,2020-04-30 22:00:00,2020-04-30,7099,44,101,36,1333
99399,10286,972,2020-04-29 22:00:00,2020-04-29,5841,43,105,35,1830
93558,8456,867,2020-04-28 22:00:00,2020-04-28,6411,42,73,34,1110
87147,7346,794,2020-04-27 22:00:00,2020-04-27,6198,41,47,33,579
80949,6767,747,2020-04-26 22:00:00,2020-04-26,6361,40,66,32,517
74588,6250,681,2020-04-25 22:00:00,2020-04-25,5966,39,66,31,682
68622,5568,615,2020-04-24 22:00:00,2020-04-24,5849,38,60,30,677
62773,4891,555,2020-04-23 22:00:00,2020-04-23,4774,37,42,29,471
57999,4420,513,2020-04-22 22:00:00,2020-04-22,5236,36,57,28,547
52763,3873,456,2020-04-21 22:00:00,2020-04-21,5642,35,51,27,427
47121,3446,405,2020-04-20 22:00:00,2020-04-20,4268,34,44,26,155
42853,3291,361,2020-04-19 22:00:00,2020-04-19,6060,33,48,25,234
36793,3057,313,2020-04-18 22:00:00,2020-04-18,4785,32,40,24,467
32008,2590,273,2020-04-17 22:00:00,2020-04-17,4070,31,41,23,286
27938,2304,232,2020-04-16 22:00:00,2020-04-16,3448,30,34,22,318
24490,1986,198,2020-04-15 22:00:00,2020-04-15,3388,29,28,21,292
21102,1694,170,2020-04-14 22:00:00,2020-04-14,2774,28,22,20,224
18328,1470,148,2020-04-13 22:00:00,2020-04-13,2558,27,18,19,179
15770,1291,130,2020-04-12 22:00:00,2020-04-12,2186,26,24,18,246
13584,1045,106,2020-04-11 22:00:00,2020-04-11,1667,25,12,17,250
11917,795,94,2020-04-10 22:00:00,2020-04-10,1786,24,18,16,97
10131,698,76,2020-04-09 22:00:00,2020-04-09,1459,23,13,15,118
8672,580,63,2020-04-08 22:00:00,2020-04-08,1175,22,5,14,86
7497,494,58,2020-04-07 22:00:00,2020-04-07,1154,21,11,13,88
6343,406,47,2020-04-06 22:00:00,2020-04-06,954,20,2,12,51
5389,355,45,2020-04-05 22:00:00,2020-04-05,658,19,2,11,22
4731,333,43,2020-04-04 21:00:00,2020-04-04,582,18,9,10,52
4149,281,34,2020-04-03 21:00:00,2020-04-03,601,17,4,9,46
3548,235,30,2020-04-02 21:00:00,2020-04-02,771,16,6,8,45
2777,190,24,2020-04-01 21:00:00,2020-04-01,440,15,7,7,69
2337,121,17,2020-03-31 21:00:00,2020-03-31,501,14,8,6,55
1836,66,9,2020-03-30 21:00:00,2020-03-30,302,13,1,5,2
1534,64,8,2020-03-29 21:00:00,2020-03-29,270,12,4,4,15
1264,49,4,2020-03-28 21:00:00,2020-03-28,228,11,1,3,4
1036,45,3,2020-03-27 21:10:00,2020-03-27,196,10,0,2,7
840,38,3,2020-03-26 22:20:00,2020-03-26,182,9,2,1,9
658,29,1,2020-03-25 23:20:00,2020-03-25,214,8,0,0,9
444,20,1,2020-03-24 21:20:00,2020-03-24,6,7,0,0,3
438,17,1,2020-03-23 21:40:00,2020-03-23,132,6,0,0,1
306,16,1,2020-03-22 21:00:00,2020-03-22,53,5,0,0,4
253,12,1,2020-03-21 21:00:00,2020-03-21,54,4,0,0,3
199,9,1,2020-03-20 21:20:00,2020-03-20,52,3,0,0,1
147,8,1,2020-03-19 21:30:00,2020-03-19,0,2,1,0,0
147,8,0,2020-03-18 22:00:00,2020-03-18,54,1,0,0,0
93,8,0,2020-03-17 21:00:00,2020-03-17,30,0,0,0,0
63,8,0,2020-03-16 21:00:00,2020-03-16,4,0,0,0,0
59,8,0,2020-03-15 21:00:00,2020-03-15,14,0,0,0,0
45,8,0,2020-03-14 21:00:00,2020-03-14,11,0,0,0,5
34,3,0,2020-03-13 21:00:00,2020-03-13,6,0,0,0,0
28,3,0,2020-03-12 21:00:00,2020-03-12,8,0,0,0,0
20,3,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
20,3,0,2020-03-10 21:00:00,2020-03-10,3,0,0,0,0
17,3,0,2020-03-09 21:00:00,2020-03-09,2,0,0,0,0
15,3,0,2020-03-08 21:00:00,2020-03-08,2,0,0,0,1
13,2,0,2020-03-07 21:00:00,2020-03-07,9,0,0,0,0
4,2,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
4,2,0,2020-03-05 21:00:00,2020-03-05,1,0,0,0,0
3,2,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
3,2,0,2020-03-03 21:00:00,2020-03-03,1,0,0,0,0
2,2,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
2,2,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
2,2,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
2,2,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
2,2,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
2,2,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
2,2,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
2,2,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
2,2,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
2,2,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
2,2,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
2,2,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
2,2,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
2,2,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
2,2,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
2,2,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
2,2,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
2,2,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
2,2,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,2
2,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
2,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
2,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
2,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
2,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
2,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
2,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
2,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
2,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
2,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
2,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
2,0,0,2020-02-01 10:00:00,2020-02-01,2,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
