Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
1586,1099,90,2020-05-09 22:00:00,2020-05-09,0,48,0,45,0
1586,1099,90,2020-05-08 22:00:00,2020-05-08,47,47,2,44,42
1539,1057,88,2020-05-07 22:00:00,2020-05-07,0,46,0,43,0
1539,1057,88,2020-05-06 22:00:00,2020-05-06,21,45,3,42,65
1518,992,85,2020-05-05 22:00:00,2020-05-05,7,44,1,41,47
1511,945,84,2020-05-04 22:00:00,2020-05-04,5,43,2,40,93
1506,852,82,2020-05-03 22:00:00,2020-05-03,12,42,1,39,45
1494,807,81,2020-05-02 22:00:00,2020-05-02,29,41,4,38,69
1465,738,77,2020-05-01 22:00:00,2020-05-01,23,40,4,37,111
1442,627,73,2020-04-30 22:00:00,2020-04-30,21,39,2,36,38
1421,589,71,2020-04-29 22:00:00,2020-04-29,22,38,6,35,36
1399,553,65,2020-04-28 22:00:00,2020-04-28,13,37,4,34,53
1386,500,61,2020-04-27 22:00:00,2020-04-27,0,36,0,33,0
1386,500,61,2020-04-26 22:00:00,2020-04-26,60,35,4,32,163
1326,337,57,2020-04-25 22:00:00,2020-04-25,26,34,1,31,36
1300,301,56,2020-04-24 22:00:00,2020-04-24,0,33,0,30,0
1300,301,56,2020-04-23 22:00:00,2020-04-23,69,32,1,29,77
1231,224,55,2020-04-22 22:00:00,2020-04-22,0,31,0,28,0
1231,224,55,2020-04-21 22:00:00,2020-04-21,6,30,1,27,24
1225,200,54,2020-04-20 22:00:00,2020-04-20,18,29,3,26,21
1207,179,51,2020-04-19 22:00:00,2020-04-19,90,28,2,25,40
1117,139,49,2020-04-18 22:00:00,2020-04-18,36,27,3,24,18
1081,121,46,2020-04-17 22:00:00,2020-04-17,107,26,1,23,23
974,98,45,2020-04-16 22:00:00,2020-04-16,66,25,1,22,12
908,86,44,2020-04-15 22:00:00,2020-04-15,0,24,6,21,42
908,44,38,2020-04-14 22:00:00,2020-04-14,54,23,0,20,0
854,44,38,2020-04-13 22:00:00,2020-04-13,26,22,4,19,3
828,41,34,2020-04-12 22:00:00,2020-04-12,117,21,2,18,0
711,41,32,2020-04-11 22:00:00,2020-04-11,48,20,2,17,4
663,37,30,2020-04-10 22:00:00,2020-04-10,46,19,1,16,2
617,35,29,2020-04-09 22:00:00,2020-04-09,18,18,3,15,5
599,30,26,2020-04-08 22:00:00,2020-04-08,29,17,3,14,0
570,30,23,2020-04-07 22:00:00,2020-04-07,15,16,5,13,7
555,23,18,2020-04-06 22:00:00,2020-04-06,72,15,1,12,3
483,20,17,2020-04-05 22:00:00,2020-04-05,53,14,5,11,0
430,20,12,2020-04-04 21:00:00,2020-04-04,46,13,1,10,3
384,17,11,2020-04-03 21:00:00,2020-04-03,30,12,0,9,0
354,17,11,2020-04-02 21:00:00,2020-04-02,25,11,2,8,5
329,12,9,2020-04-01 21:00:00,2020-04-01,44,10,2,7,0
285,12,7,2020-03-31 21:00:00,2020-03-31,26,9,1,6,9
259,3,6,2020-03-30 21:00:00,2020-03-30,18,8,2,5,0
241,3,4,2020-03-29 21:00:00,2020-03-29,22,7,1,4,0
219,3,3,2020-03-28 21:00:00,2020-03-28,18,6,0,3,0
201,3,3,2020-03-27 21:10:00,2020-03-27,24,5,0,2,2
177,1,3,2020-03-26 22:20:00,2020-03-26,0,4,1,1,0
177,1,2,2020-03-25 23:20:00,2020-03-25,41,3,0,0,0
136,1,2,2020-03-24 21:20:00,2020-03-24,21,2,0,0,0
115,1,2,2020-03-23 21:40:00,2020-03-23,30,1,2,0,0
85,1,0,2020-03-22 21:00:00,2020-03-22,8,0,0,0,0
77,1,0,2020-03-21 21:00:00,2020-03-21,10,0,0,0,0
67,1,0,2020-03-20 21:20:00,2020-03-20,24,0,0,0,0
43,1,0,2020-03-19 21:30:00,2020-03-19,12,0,0,0,0
31,1,0,2020-03-18 22:00:00,2020-03-18,7,0,0,0,0
24,1,0,2020-03-17 21:00:00,2020-03-17,5,0,0,0,0
19,1,0,2020-03-16 21:00:00,2020-03-16,0,0,0,0,0
19,1,0,2020-03-15 21:00:00,2020-03-15,5,0,0,0,0
14,1,0,2020-03-14 21:00:00,2020-03-14,5,0,0,0,0
9,1,0,2020-03-13 21:00:00,2020-03-13,0,0,0,0,0
9,1,0,2020-03-12 21:00:00,2020-03-12,2,0,0,0,1
7,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
7,0,0,2020-03-10 21:00:00,2020-03-10,4,0,0,0,0
3,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
3,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
3,0,0,2020-03-07 21:00:00,2020-03-07,2,0,0,0,0
1,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
1,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
1,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
1,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
1,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
1,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
1,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
1,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
1,0,0,2020-02-27 21:00:00,2020-02-27,1,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
