Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
32895,19869,1436,2020-06-03 22:00:00,2020-06-03,195,82,12,76,317
32700,19552,1424,2020-06-02 22:00:00,2020-06-02,200,81,14,75,143
32500,19409,1410,2020-06-01 22:00:00,2020-06-01,297,80,14,74,223
32203,19186,1396,2020-05-31 22:00:00,2020-05-31,257,79,13,73,275
31946,18911,1383,2020-05-30 22:00:00,2020-05-30,350,78,14,72,274
31596,18637,1369,2020-05-29 22:00:00,2020-05-29,304,77,13,71,288
31292,18349,1356,2020-05-28 22:00:00,2020-05-28,285,76,14,70,253
31007,18096,1342,2020-05-27 22:00:00,2020-05-27,219,75,12,69,274
30788,17822,1330,2020-05-26 22:00:00,2020-05-26,165,74,14,68,273
30623,17549,1316,2020-05-25 22:00:00,2020-05-25,152,73,14,67,9844
30471,7705,1302,2020-05-24 22:00:00,2020-05-24,271,72,13,66,115
30200,7590,1289,2020-05-23 22:00:00,2020-05-23,288,71,12,65,1138
29912,6452,1277,2020-05-22 22:00:00,2020-05-22,252,70,14,64,0
29660,6452,1263,2020-05-21 22:00:00,2020-05-21,228,69,16,63,21
29432,6431,1247,2020-05-20 22:00:00,2020-05-20,0,68,0,62,0
29432,6431,1247,2020-05-19 22:00:00,2020-05-19,396,67,29,61,1795
29036,4636,1218,2020-05-18 22:00:00,2020-05-18,226,66,15,60,814
28810,3822,1203,2020-05-17 22:00:00,2020-05-17,227,65,13,59,494
28583,3328,1190,2020-05-16 22:00:00,2020-05-16,264,64,6,58,130
28319,3198,1184,2020-05-15 22:00:00,2020-05-15,187,63,9,57,16
28132,3182,1175,2020-05-14 22:00:00,2020-05-14,219,62,12,56,169
27913,3013,1163,2020-05-13 22:00:00,2020-05-13,234,61,19,55,464
27679,2549,1144,2020-05-12 22:00:00,2020-05-12,98,60,9,54,0
27581,2549,1135,2020-05-11 22:00:00,2020-05-11,175,59,9,53,50
27406,2499,1126,2020-05-10 22:00:00,2020-05-10,138,58,12,52,77
27268,2422,1114,2020-05-09 22:00:00,2020-05-09,553,57,9,51,164
26715,2258,1105,2020-05-08 22:00:00,2020-05-08,533,56,16,50,182
26182,2076,1089,2020-05-07 22:00:00,2020-05-07,480,55,15,49,333
25702,1743,1074,2020-05-06 22:00:00,2020-05-06,178,54,11,48,31
25524,1712,1063,2020-05-05 22:00:00,2020-05-05,242,53,20,47,23
25282,1689,1043,2020-05-04 22:00:00,2020-05-04,92,52,20,46,18
25190,1671,1023,2020-05-03 22:00:00,2020-05-03,-161,51,16,45,24
25351,1647,1007,2020-05-02 22:00:00,2020-05-02,306,50,18,44,128
25045,1519,989,2020-05-01 22:00:00,2020-05-01,540,49,16,43,49
24505,1470,973,2020-04-30 22:00:00,2020-04-30,183,48,25,42,81
24322,1389,948,2020-04-29 22:00:00,2020-04-29,295,47,20,41,32
24027,1357,928,2020-04-28 22:00:00,2020-04-28,163,46,25,40,28
23864,1329,903,2020-04-27 22:00:00,2020-04-27,472,45,23,39,52
23392,1277,880,2020-04-26 22:00:00,2020-04-26,595,44,26,38,49
22797,1228,854,2020-04-25 22:00:00,2020-04-25,444,43,34,37,27
22353,1201,820,2020-04-24 22:00:00,2020-04-24,371,42,35,36,58
21982,1143,785,2020-04-23 22:00:00,2020-04-23,603,41,23,35,226
21379,917,762,2020-04-22 22:00:00,2020-04-22,516,40,27,34,307
20863,610,735,2020-04-21 22:00:00,2020-04-21,657,39,21,33,0
20206,610,714,2020-04-20 22:00:00,2020-04-20,0,38,0,32,0
20206,610,714,2020-04-19 22:00:00,2020-04-19,521,37,27,31,0
19685,610,687,2020-04-18 22:00:00,2020-04-18,663,36,30,30,91
19022,519,657,2020-04-17 22:00:00,2020-04-17,931,35,58,29,136
18091,383,599,2020-04-16 22:00:00,2020-04-16,0,34,0,28,0
18091,383,599,2020-04-15 22:00:00,2020-04-15,1157,33,64,27,106
16934,277,535,2020-04-14 22:00:00,2020-04-14,0,32,0,26,0
16934,277,535,2020-04-13 22:00:00,2020-04-13,947,31,65,25,11
15987,266,470,2020-04-12 22:00:00,2020-04-12,515,30,35,24,33
15472,233,435,2020-04-11 22:00:00,2020-04-11,1516,29,26,23,28
13956,205,409,2020-04-10 22:00:00,2020-04-10,815,28,29,22,9
13141,196,380,2020-04-09 22:00:00,2020-04-09,0,27,0,21,0
13141,196,380,2020-04-08 22:00:00,2020-04-08,699,26,35,20,12
12442,184,345,2020-04-07 22:00:00,2020-04-07,712,25,34,19,44
11730,140,311,2020-04-06 22:00:00,2020-04-06,452,24,16,18,65
11278,75,295,2020-04-05 22:00:00,2020-04-05,1392,23,49,17,7
9886,68,246,2020-04-04 21:00:00,2020-04-04,852,22,37,16,0
9034,68,209,2020-04-03 21:00:00,2020-04-03,783,21,22,15,25
8251,43,187,2020-04-02 21:00:00,2020-04-02,808,20,27,14,0
7443,43,160,2020-04-01 21:00:00,2020-04-01,1035,19,20,13,0
6408,43,140,2020-03-31 21:00:00,2020-03-31,446,18,21,12,0
5962,43,119,2020-03-30 21:00:00,2020-03-30,792,17,19,11,0
5170,43,100,2020-03-29 21:00:00,2020-03-29,902,16,24,10,0
4268,43,76,2020-03-28 21:00:00,2020-03-28,724,15,16,9,0
3544,43,60,2020-03-27 21:10:00,2020-03-27,549,14,17,8,21
2995,22,43,2020-03-26 22:20:00,2020-03-26,0,13,0,7,0
2995,22,43,2020-03-25 23:20:00,2020-03-25,935,12,20,6,8
2060,14,23,2020-03-24 21:20:00,2020-03-24,460,11,9,5,9
1600,5,14,2020-03-23 21:40:00,2020-03-23,320,10,2,4,0
1280,5,12,2020-03-22 21:00:00,2020-03-22,260,9,5,3,0
1020,5,7,2020-03-21 21:00:00,2020-03-21,234,8,2,2,1
786,4,5,2020-03-20 21:20:00,2020-03-20,144,7,3,1,0
642,4,2,2020-03-19 21:30:00,2020-03-19,194,6,0,0,1
448,3,2,2020-03-18 22:00:00,2020-03-18,117,5,1,0,0
331,3,1,2020-03-17 21:00:00,2020-03-17,86,4,1,0,0
245,3,0,2020-03-16 21:00:00,2020-03-16,76,3,0,0,1
169,2,0,2020-03-15 21:00:00,2020-03-15,57,2,0,0,1
112,1,0,2020-03-14 21:00:00,2020-03-14,34,1,0,0,0
78,1,0,2020-03-13 21:00:00,2020-03-13,17,0,0,0,1
61,0,0,2020-03-12 21:00:00,2020-03-12,20,0,0,0,0
41,0,0,2020-03-11 21:00:00,2020-03-11,2,0,0,0,0
39,0,0,2020-03-10 21:00:00,2020-03-10,8,0,0,0,0
31,0,0,2020-03-09 21:00:00,2020-03-09,6,0,0,0,0
25,0,0,2020-03-08 21:00:00,2020-03-08,10,0,0,0,0
15,0,0,2020-03-07 21:00:00,2020-03-07,6,0,0,0,0
9,0,0,2020-03-06 21:00:00,2020-03-06,1,0,0,0,0
8,0,0,2020-03-05 21:00:00,2020-03-05,3,0,0,0,0
5,0,0,2020-03-04 21:00:00,2020-03-04,1,0,0,0,0
4,0,0,2020-03-03 21:00:00,2020-03-03,2,0,0,0,0
2,0,0,2020-03-02 21:00:00,2020-03-02,2,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
