Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
551,528,8,2020-05-06 22:00:00,2020-05-06,0,46,0,34,0
551,528,8,2020-05-05 22:00:00,2020-05-05,0,45,0,33,1
551,527,8,2020-05-04 22:00:00,2020-05-04,0,44,0,32,4
551,523,8,2020-05-03 22:00:00,2020-05-03,0,43,0,31,3
551,520,8,2020-05-02 22:00:00,2020-05-02,0,42,0,30,9
551,511,8,2020-05-01 22:00:00,2020-05-01,0,41,0,29,4
551,507,8,2020-04-30 22:00:00,2020-04-30,0,40,0,28,7
551,500,8,2020-04-29 22:00:00,2020-04-29,1,39,0,27,14
550,486,8,2020-04-28 22:00:00,2020-04-28,1,38,0,26,0
549,486,8,2020-04-27 22:00:00,2020-04-27,0,37,0,25,0
549,486,8,2020-04-26 22:00:00,2020-04-26,0,36,0,24,8
549,478,8,2020-04-25 22:00:00,2020-04-25,1,35,0,23,14
548,464,8,2020-04-24 22:00:00,2020-04-24,2,34,1,22,6
546,458,7,2020-04-23 22:00:00,2020-04-23,0,33,0,21,7
546,451,7,2020-04-22 22:00:00,2020-04-22,0,32,0,20,8
546,443,7,2020-04-21 22:00:00,2020-04-21,1,31,0,19,8
545,435,7,2020-04-20 22:00:00,2020-04-20,0,30,0,18,9
545,426,7,2020-04-19 22:00:00,2020-04-19,1,29,0,17,38
544,388,7,2020-04-18 22:00:00,2020-04-18,3,28,0,16,11
541,377,7,2020-04-17 22:00:00,2020-04-17,6,27,1,15,37
535,340,6,2020-04-16 22:00:00,2020-04-16,3,26,0,14,2
532,338,6,2020-04-15 22:00:00,2020-04-15,5,25,0,13,42
527,296,6,2020-04-14 22:00:00,2020-04-14,4,24,0,12,45
523,251,6,2020-04-13 22:00:00,2020-04-13,6,23,0,11,12
517,239,6,2020-04-12 22:00:00,2020-04-12,3,22,0,10,23
514,216,6,2020-04-11 22:00:00,2020-04-11,8,21,0,9,13
506,203,6,2020-04-10 22:00:00,2020-04-10,11,20,0,8,33
495,170,6,2020-04-09 22:00:00,2020-04-09,14,19,0,7,0
481,170,6,2020-04-08 22:00:00,2020-04-08,11,18,0,6,0
470,170,6,2020-04-07 22:00:00,2020-04-07,10,17,2,5,22
460,148,4,2020-04-06 21:00:00,2020-04-06,7,16,1,4,56
453,92,3,2020-04-05 22:00:00,2020-04-05,17,15,0,3,0
436,92,3,2020-04-04 21:00:00,2020-04-04,14,14,0,2,0
422,92,3,2020-04-03 21:00:00,2020-04-03,22,13,1,1,0
400,92,2,2020-04-02 21:00:00,2020-04-02,8,12,0,0,28
392,64,2,2020-04-01 21:00:00,2020-04-01,28,11,0,0,16
364,48,2,2020-03-31 21:00:00,2020-03-31,9,10,0,0,7
355,41,2,2020-03-30 21:00:00,2020-03-30,43,9,0,0,13
312,28,2,2020-03-29 21:00:00,2020-03-29,34,8,0,0,0
278,28,2,2020-03-28 21:00:00,2020-03-28,23,7,1,0,5
255,23,1,2020-03-27 21:10:00,2020-03-27,24,6,0,0,0
231,23,1,2020-03-26 22:20:00,2020-03-26,26,5,0,0,22
205,1,1,2020-03-25 23:20:00,2020-03-25,30,4,0,0,0
175,1,1,2020-03-24 21:20:00,2020-03-24,35,3,0,0,0
140,1,1,2020-03-23 21:40:00,2020-03-23,20,2,0,0,0
120,1,1,2020-03-22 21:00:00,2020-03-22,30,1,0,0,0
90,1,1,2020-03-21 21:00:00,2020-03-21,26,0,0,0,0
64,1,1,2020-03-20 21:20:00,2020-03-20,12,0,0,0,0
52,1,1,2020-03-19 21:30:00,2020-03-19,17,0,0,0,0
35,1,1,2020-03-18 22:00:00,2020-03-18,4,0,0,0,0
31,1,1,2020-03-17 21:00:00,2020-03-17,3,0,0,0,0
28,1,1,2020-03-16 21:00:00,2020-03-16,11,0,0,0,0
17,1,1,2020-03-15 21:00:00,2020-03-15,0,0,0,0,0
17,1,1,2020-03-14 21:00:00,2020-03-14,3,0,0,0,0
14,1,1,2020-03-13 21:00:00,2020-03-13,5,0,0,0,0
9,1,1,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
9,1,1,2020-03-11 21:00:00,2020-03-11,3,0,0,0,0
6,1,1,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
6,1,1,2020-03-09 21:00:00,2020-03-09,2,0,0,0,0
4,1,1,2020-03-08 21:00:00,2020-03-08,1,0,0,0,1
3,0,1,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
3,0,1,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
3,0,1,2020-03-05 21:00:00,2020-03-05,1,0,0,0,0
2,0,1,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
2,0,1,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
2,0,1,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
2,0,1,2020-03-01 21:00:00,2020-03-01,0,0,1,0,0
2,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
2,0,0,2020-02-28 21:00:00,2020-02-28,1,0,0,0,0
1,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
1,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
1,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
1,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
1,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
1,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
1,0,0,2020-02-21 21:00:00,2020-02-21,1,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
